Case Number,Casecode,Opened,Closed,Charges,Disposition
19-062,APCON,1/12/2018,6/10/2019,MISDO,Dismissal
18-016,APCON,1/12/2018,6/10/2019,MISDO,Plea
18-195,APCON,8/8/2018,3/4/2019,MISDO,Plea
18-322,APCON,8/8/2018,3/4/2019,MISDO,Plea
18-161,APCON,7/10/2018,2/25/2019,MISDO,Plea
19-007,APCON,1/8/2019,1/18/2019,MISDO,Other
18-213,APCON,9/7/2018,3/11/2019,MISDO,Plea
19-039,APCON,2/4/2019,3/4/2019,MISDO,Plea
19-015,APCON,1/10/2019,00/00/0000,MISDO,Plea
19-017,APCON,1/10/2019,00/00/0000,MISDO,
18-249,APCON,11/6/2018,2/21/2019,MISDO,Dismissal
19-077,APCON,3/15/2019,4/16/2019,MISDO,Plea
19-013,APCON,1/8/2019,3/7/2019,MISDO,Plea
19-041,APCON,2/1/2019,3/5/2019,MISDO,Plea
18-160,APCON,7/10/2018,3/5/2019,MISDO,Plea
18-183,APCON,7/3/2018,7/31/2020,MISDO,Plea
18-323,APCON,8/1/2018,4/29/2019,MISDO,Dismissal
19-026,APCON,1/28/2019,3/6/2019,MISDO,Plea
18-186,APCON,7/26/2018,3/7/2019,MISDO,Plea
18-284,APCON,11/16/2018,9/12/2019,MISDO,Plea
18-298,APCON,11/16/2018,9/12/2019,MISDO,Plea
19-022,APCON,1/22/2019,3/4/2019,MISDO,Plea
19-081,APCON,3/25/2019,9/30/2019,MISDO,Dismissal
18-287,APCON,11/27/2018,2/21/2019,MISDO,Plea
18-305,APCON,11/27/2018,2/21/2019,MISDO,Plea
18-095,APCON,4/6/2018,2/15/2019,MISDO,Plea
18-052,APCON,2/26/2018,1/1/2019,MISDO,Plea
18-053,APCON,2/26/2018,1/1/2019,MISDO,Dismissed
19-083,APCON,3/26/2019,10/12/2021,MISDO,Plea
19-086,APCON,3/26/2019,7/21/2020,MISDO,Plea
19-085,APCON,3/26/2019,7/30/2019,MISDO,Plea
19-089,APCON,3/28/2019,7/13/2020,MISDO,Plea
18-226,APCON,9/21/2018,00/00/0000,MISDO,Other
18-084,APCON,3/23/2018,00/00/0000,MISDO,Plea
19-093,APCON,4/8/2019,4/15/2019,MISDO,Plea
19-094,APCON,4/8/2019,4/15/2019,MISDO,Plea
19-095,APCON,4/8/2019,4/15/2019,MISDO,Dismissal
19-097,APCON,4/9/2019,6/3/2019,MISDO,Plea
19-101,APCON,4/9/2019,12/14/2020,MISDO,Plea
19-102,APCON,4/12/2019,5/11/2020,MISDO,Plea
19-103,APCON,4/16/2019,6/4/2019,MISDO,Dismissed
19-110,APCON,4/30/2019,8/12/2019,MISDO,Plea
19-109,APCON,4/30/2019,11/14/2022,MISDO,Dismissal
19-116,APCON,5/2/2019,8/5/2019,MISDO,Plea
19-108,APCON,4/30/2019,7/15/2019,MISDO,Other
19-117,APCON,4/19/2019,5/20/2019,MISDO,Plea
19-120,APCON,5/7/2019,5/1/2020,MISDO,Plea
19-114,APCON,4/19/2019,7/8/2019,MISDO,Plea
19-112,APCON,4/30/2019,8/28/2019,MISDO,Dismissed
19-113,APCON,4/30/2019,6/1/2023,MISDO,Other
19-111,APCON,4/30/2019,10/22/2019,MISDO,Plea
19-124,APCON,5/7/2019,7/15/2019,MISDO,Plea
19-130,APCON,5/8/2019,7/16/2019,MISDO,Dismissal
19-131,APCON,5/8/2019,8/7/2019,MISDO,Plea
17-367-3,APCON,12/27/2017,00/00/0000,MISDO,Plea
18-029,APCON,2/2/2018,00/00/0000,MISDO,Plea
18-117-2,APCON,4/27/2018,00/00/0000,MISDO,Plea
17-304,APCON,11/13/2017,00/00/0000,MISDO,Plea
17-332-2,APCON,1/2/2018,00/00/0000,MISDO,Plea
18-005,APCON,1/9/2018,00/00/0000,MISDO,Dismissed
18-220,APCON,9/18/2018,00/00/0000,MISDO,Plea
17-306,APCON,12/4/2017,00/00/0000,MISDO,Plea
18-021,APCON,1/19/2018,00/00/0000,MISDO,Plea
18-081,APCON,3/20/2018,00/00/0000,MISDO,Plea
18-144-2,APCON,7/1/2018,00/00/0000,MISDO,Plea
18-072-1,APCON,3/16/2018,00/00/0000,MISDO,Dismissed
18-072-2,APCON,3/16/2018,00/00/0000,MISDO,Dismissed
18-110-1,APCON,4/19/2018,00/00/0000,MISDO,Plea
18-110-2,APCON,4/19/2018,00/00/0000,MISDO,Plea
18-201-1,APCON,8/27/2018,00/00/0000,MISDO,Plea
18-201-2,APCON,8/27/2018,00/00/0000,MISDO,Plea
17-380-1,APCON,12/15/2017,00/00/0000,MISDO,Dismissed
17-380-2,APCON,12/15/2017,00/00/0000,MISDO,Dismissed
17-364-1,APCON,12/12/2017,00/00/0000,MISDO,Plea
17-364-2,APCON,12/12/2017,00/00/0000,MISDO,Plea
18-030,APCON,2/5/2018,00/00/0000,MISDO,Dismissed
17-326,APCON,10/31/2017,00/00/0000,MISDO,Plea
18-143-1,APCON,7/3/2018,00/00/0000,MISDO,Dismissed
18-143-2,APCON,6/8/2018,00/00/0000,MISDO,Dismissed
18-143-3,APCON,11/1/2018,00/00/0000,MISDO,Plea
17-334,APCON,11/14/2017,00/00/0000,MISDO,Dismissed
18-018,APCON,1/16/2018,00/00/0000,MISDO,Plea
17-325-1,APCON,11/2/2018,00/00/0000,MISDO,Plea
17-325-2,APCON,11/2/2017,00/00/0000,MISDO,Plea
18-154-2,APCON,8/1/2018,00/00/0000,MISDO,Plea
18-141,APCON,6/5/2018,00/00/0000,MISDO,Dismissed
18-137,APCON,6/1/2018,00/00/0000,MISDO,Plea
17-337,APCON,11/14/2017,00/00/0000,MISDO,Dismissed
18-076,APCON,8/14/2018,00/00/0000,MISDO,Other
17-312-2,APCON,11/1/2017,00/00/0000,MISDO,Plea
17-312-3,APCON,11/1/2017,00/00/0000,MISDO,Plea
17-312-4,APCON,11/1/2017,00/00/0000,MISDO,Plea
17-312-5,APCON,11/1/2017,00/00/0000,MISDO,Plea
17-312-6,APCON,11/1/2017,00/00/0000,MISDO,Plea
18-133-1,APCON,5/29/2018,00/00/0000,MISDO,Plea
18-133-2,APCON,5/29/2018,00/00/0000,MISDO,Plea
19-138,APCON,5/14/2019,8/16/2022,MISDO,Other
18-133-3,APCON,5/29/2018,00/00/0000,MISDO,Plea
18-133-4,APCON,5/29/2018,00/00/0000,MISDO,Plea
18-133-5,APCON,5/29/2018,00/00/0000,MISDO,Plea
18-031,APCON,2/6/2018,00/00/0000,MISDO,Plea
18-254,APCON,10/16/2018,00/00/0000,MISDO,Plea
18-223,APCON,9/20/2018,00/00/0000,MISDO,Plea
18-180-2,APCON,4/26/2018,00/00/0000,MISDO,Plea
18-040,APCON,2/8/2018,00/00/0000,MISDO,Plea
18-040-2,APCON,4/26/2018,00/00/0000,MISDO,Plea
18-038,APCON,2/9/2018,00/00/0000,MISDO,Plea
17-372-1,APCON,12/21/2017,00/00/0000,MISDO,Plea
17-342-2,APCON,11/21/2017,00/00/0000,MISDO,Plea
18-184,APCON,7/24/2018,00/00/0000,MISDO,Plea
18-096-2,APCON,12/15/2017,00/00/0000,MISDO,Plea
18-200-1,APCON,8/21/2018,00/00/0000,MISDO,Plea
18-200-2,APCON,11/30/2018,00/00/0000,MISDO,Plea
18-200-3,APCON,8/21/2018,00/00/0000,MISDO,Plea
17-376-1,APCON,12/22/2017,00/00/0000,MISDO,Plea
17-376-2,APCON,3/2/2018,00/00/0000,MISDO,Plea
18-174,APCON,7/17/2018,00/00/0000,MISDO,Plea
17-318,APCON,11/7/2018,00/00/0000,MISDO,Plea
17-318-2,APCON,2/27/2018,00/00/0000,MISDO,Plea
18-056,APCON,2/27/2018,00/00/0000,MISDO,Plea
18-009,APCON,1/5/2018,00/00/0000,MISDO,Plea
18-014,APCON,1/8/2018,00/00/0000,MISDO,Other
17-338,APCON,11/14/2017,00/00/0000,MISDO,Dismissed
18-129,APCON,5/17/2018,00/00/0000,MISDO,Plea
18-028-2,APCON,2/2/2018,00/00/0000,MISDO,Plea
17-339,APCON,11/14/2017,00/00/0000,MISDO,Dismissed
18-120-1,APCON,5/1/2018,00/00/0000,MISDO,Plea
18-120-2,APCON,8/28/2018,00/00/0000,MISDO,Plea
18-120-3,APCON,9/11/2018,00/00/0000,MISDO,Plea
18-044-2,APCON,2/16/2018,00/00/0000,MISDO,Plea
18-159,APCON,7/6/2018,00/00/0000,MISDO,Plea
17-340,APCON,11/14/2017,00/00/0000,MISDO,Dismissed
18-218,APCON,9/17/2018,00/00/0000,MISDO,Plea
17-328,APCON,11/14/2017,00/00/0000,MISDO,Plea
17-328-2,APCON,11/14/2017,00/00/0000,MISDO,Plea
17-319,APCON,11/7/2017,00/00/0000,MISDO,Dismissed
17-348-2,APCON,6/5/2018,00/00/0000,MISDO,Plea
18-301-2,APCON,12/19/2018,00/00/0000,MISDO,Plea
18-071,APCON,3/13/2018,00/00/0000,MISDO,Plea
19-142,APCON,5/17/2019,11/4/2019,MISDO,Plea
17-320,APCON,11/7/2017,00/00/0000,MISDO,Other
17-321-1,APCON,11/7/2017,00/00/0000,MISDO,Plea
17-321-2,APCON,12/1/2018,00/00/0000,MISDO,Plea
17-321-3,APCON,7/19/2018,00/00/0000,MISDO,Plea
18-015,APCON,1/11/2018,00/00/0000,MISDO,Plea
18-151,APCON,6/26/2018,00/00/0000,MISDO,Plea
18-087,APCON,3/27/2018,00/00/0000,MISDO,Plea
17-353-2,APCON,11/9/2017,00/00/0000,MISDO,Plea
17-378-1,APCON,12/11/2017,00/00/0000,MISDO,Plea
17-378-2,APCON,11/5/2018,00/00/0000,MISDO,Dismissed
17-378-3,APCON,8/14/2018,00/00/0000,MISDO,Plea
17-378-4,APCON,8/14/2018,00/00/0000,MISDO,Plea
17-378-5,APCON,8/14/2018,00/00/0000,MISDO,Plea
18-017,APCON,1/12/2018,00/00/0000,MISDO,Plea
18-128,APCON,5/15/2018,00/00/0000,MISDO,
18-229,APCON,1/28/2019,00/00/0000,MISDO,Plea
17-377,APCON,12/19/2017,00/00/0000,MISDO,Plea
17-329,APCON,11/14/2017,00/00/0000,MISDO,Dismissed
18-157-1,APCON,7/10/2018,00/00/0000,MISDO,Plea
18-157-3,APCON,7/10/2018,00/00/0000,MISDO,Plea
18-043,APCON,2/13/2018,00/00/0000,MISDO,Plea
17-345,APCON,11/28/2017,00/00/0000,MISDO,Plea
18-011-1,APCON,1/2/2018,00/00/0000,MISDO,Plea
18-011-3,APCON,1/2/2018,00/00/0000,MISDO,Plea
18-019-1,APCON,1/23/2018,00/00/0000,MISDO,Dismissed
18-019-2,APCON,1/19/2018,00/00/0000,MISDO,Dismissed
18-012-2,APCON,1/8/2018,00/00/0000,MISDO,Dismissed
18-012-3,APCON,1/8/2018,00/00/0000,MISDO,Dismissed
17-362,APCON,11/1/2017,00/00/0000,MISDO,Other
19-147,APCON,5/21/2019,8/13/2019,MISDO,Dismissed
19-148,APCON,5/21/2019,8/13/2019,MISDO,Dismissed
17-343,APCON,11/30/2017,00/00/0000,MISDO,Dismissed
19-152,APCON,5/24/2019,3/17/2020,MISDO,Plea
19-150,APCON,5/24/2019,7/29/2019,MISDO,Plea
19-149,APCON,5/24/2019,00/00/0000,Misdo,
18-034,APCON,1/16/2018,00/00/0000,MISDO,Plea
19-155,APCON,5/24/2019,8/31/2023,MISDO,Dismissal
18-002-2,APCON,4/19/2018,00/00/0000,MISDO,Plea
18-042,APCON,2/13/2018,00/00/0000,MISDO,Plea
18-102-2,APCON,4/23/2018,7/12/2018,MISDO,
18-102-3,APCON,4/19/2018,00/00/0000,MISDO,Plea
18-024,APCON,1/31/2018,00/00/0000,MISDO,Dismissed
17-307,APCON,11/1/2017,00/00/0000,MISDO,Other
18-148,APCON,6/22/2018,00/00/0000,MISDO,Dismissed
17-301-2,APCON,11/8/2017,00/00/0000,MISDO,Dismissed
17-366,APCON,11/14/2017,00/00/0000,MISDO,Plea
17-336-2,APCON,7/17/2018,00/00/0000,MISDO,Plea
17-336-4,APCON,7/17/2018,00/00/0000,MISDO,Plea
17-346,APCON,11/27/2017,00/00/0000,MISDO,Plea
18-023,APCON,1/19/2018,00/00/0000,MISDO,Dismissed
18-048,APCON,2/20/2018,00/00/0000,MISDO,Conflict
18-048-2,APCON,2/20/2018,00/00/0000,MISDO,Conflict
18-121,APCON,5/1/2018,00/00/0000,MISDO,Plea
17-349,APCON,11/17/2017,00/00/0000,MISDO,Plea
17-310,APCON,10/30/2017,00/00/0000,MISDO,Plea
17-309,APCON,11/6/2017,00/00/0000,MISDO,Plea
17-309-2,APCON,5/11/2018,00/00/0000,MISDO,Plea
17-322,APCON,11/7/2017,00/00/0000,MISDO,Dismissed
18-070,APCON,3/13/2018,00/00/0000,MISDO,Dismissed
17-347,APCON,11/28/2017,00/00/0000,MISDO,Other
18-185,APCON,7/24/2018,00/00/0000,MISDO,Plea
18-156,APCON,6/29/2018,00/00/0000,MISDO,Plea
18-138-1,APCON,8/30/2018,00/00/0000,MISDO,Plea
19-158,APCON,5/29/2019,00/00/0000,MISDO,
18-134,APCON,5/29/2018,00/00/0000,MISDO,Dismissed
18-165-2,APCON,7/10/2018,00/00/0000,MISDO,Plea
18-188,APCON,7/25/2018,00/00/0000,MISDO,Dismissed
18-101-1,APCON,12/26/2017,00/00/0000,MISDO,Plea
19-163,APCON,6/4/2019,8/12/2019,MISDO,Plea
19-162,APCON,6/4/2019,7/8/2019,MISDO,Dismissed
19-164,APCON,6/7/2019,8/26/2019,MISDO,Plea
19-165,APCON,6/10/2019,7/16/2019,MISDO,Plea
19-166,APCON,6/7/2019,6/10/2019,MISDO,Plea
19-167,APCON,6/13/2019,6/17/2019,MISDO,Plea
19-170,APCON,6/17/2019,7/10/2019,MISDO,Plea
19-173,APCON,6/18/2019,9/9/2019,MISDO,Plea
19-181,APCON,6/21/2019,7/9/2019,MISDO,Plea
19-180,APCON,6/21/2019,7/8/2019,MISDO,Plea
19-182,APCON,6/21/2019,7/8/2019,MISDO,Plea
19-183,APCON,6/21/2019,7/11/2019,MISDO,Other
19-184,APCON,6/21/2019,7/11/2019,MISDO,Other
19-175,APCON,6/19/2019,11/19/2019,MISDO,Plea
20-184,APCON,7/18/2023,00/00/0000,MISDO,
19-185,APCON,6/21/2019,6/25/2020,MISDO,Plea
19-188,APCON,6/28/2019,7/8/2019,MISDO,Plea
19-195,GEN,7/1/2019,8/31/2019,MISDO,Other
19-194,APCON,7/1/2019,10/29/2019,MISDO,Plea
19-198,APCON,7/2/2019,12/10/2019,MISDO,Plea
19-199,APCON,7/2/2019,9/30/2019,MISDO,Plea
19-201,APCON,7/3/2019,8/24/2020,MISDO,Plea
19-207,APCON,7/9/2019,8/13/2019,MISDO,Plea
19-209,APCON,7/9/2019,12/16/2019,MISDO,Plea
19-212,APCON,7/12/2019,9/9/2019,MISDO,Other
19-214,APCON,7/15/2019,7/16/2019,MISDO,Dismissed
19-221,APCON,7/19/2019,9/9/2019,MISDO,Other
19-220,APCON,7/19/2019,8/7/2019,MISDO,Plea
19-219,APCON,7/19/2019,00/00/0000,MISDO,
19-217,APCON,7/19/2019,1/27/2020,MISDO,Plea
19-216,APCON,7/19/2019,10/19/2020,MISDO,Plea
19-218,APCON,7/19/2019,10/7/2019,MISDO,Plea
19-222,APCON,7/19/2019,9/6/2019,MISDO,Plea
19-211,APCON,7/1/2019,9/30/2019,MISDO,Plea
19-226,APCON,7/26/2019,11/19/2019,MISDO,Dismissed
19-227,APCON,7/26/2019,11/19/2019,MISDO,Dismissed
19-229,APCON,7/30/2019,10/1/2019,MISDO,Plea
19-231,APCON,7/30/2019,9/30/2019,MISDO,Plea
19-234,APCON,8/2/2019,11/18/2019,MISDO,Plea
19-235,APCON,8/2/2019,11/4/2019,MISDO,Plea
19-238,APCON,8/6/2019,10/23/2020,MISDO,Plea
19-239,APCON,8/6/2019,9/30/2019,MISDO,Plea
19-240,APCON,8/6/2019,4/1/2020,MISDO,Dismissed
19-241,APCON,8/8/2019,8/13/2019,MISDO,Plea
19-242,APCON,7/16/2019,8/6/2019,MISDO,Plea
19-243,APCON,8/9/2019,3/2/2020,MISDO,Plea
19-248,APCON,8/27/2019,11/18/2019,MISDO,Plea
19-249,APCON,8/16/2019,11/18/2019,MISDO,Plea
19-250,APCON,8/16/2019,10/22/2019,MISDO,Plea
19-251,APCON,8/16/2019,00/00/0000,MISDO,
19-253,GEN,8/20/2019,11/7/2019,MISDO,
19-258,APCON,8/22/2019,5/7/2020,MISDO,Plea
19-259,APCON,8/22/2019,9/30/2019,MISDO,Plea
19-260,APCON,8/22/2019,9/30/2019,MISDO,Plea
19-261,APCON,8/26/2019,9/1/2019,MISDO,Other
19-262,APCON,8/26/2019,10/7/2019,MISDO,Plea
19-263,APCON,8/26/2019,10/7/2019,MISDO,Plea
19-265,APCON,8/26/2019,8/28/2019,MISDO,Plea
19-271,APCON,8/19/2019,2/24/2020,MISDO,Plea
19-272,APCON,8/26/2019,9/30/2019,MISDO,Plea
19-273,APCON,8/30/2019,4/1/2020,MISDO,Plea
19-274,APCON,8/27/2019,12/12/2019,MISDO,Other
19-275,APCON,8/30/2019,5/11/2020,MISDO,Plea
19-276,APCON,8/30/2019,12/1/2019,MISDO,Dismissal
19-277,APCON,8/30/2019,12/12/2019,MISDO,Other
19-278,APCON,9/3/2019,11/4/2019,MISDO,Plea
19-279,APCON,9/3/2019,12/2/2019,MISDO,Plea
19-280,APCON,8/27/2019,11/18/2019,MISDO,Plea
19-281,APCON,9/3/2019,11/2/2021,MISDO,Plea
19-282,APCON,9/3/2019,00/00/0000,MISDO,Plea
19-283,APCON,9/4/2019,9/30/2019,MISDO,Plea
19-284,APCON,9/4/2019,1/28/2020,MISDO,Plea
19-288,APCON,9/4/2019,9/8/2020,MISDO,Other
19-294,APCON,9/10/2019,00/00/0000,Misdo,
19-295,APCON,9/10/2019,00/00/0000,Misdo,
19-300,APCON,9/19/2019,9/23/2019,MISDO,Plea
19-305,APCON,9/20/2019,10/28/2019,MISDO,Plea
19-306,APCON,9/20/2019,10/28/2019,MISDO,Dismissed
19-307,APCON,9/20/2019,10/28/2019,MISDO,Plea
19-312,APCON,9/24/2019,2/24/2020,MISDO,Plea
19-315,APCON,10/1/2019,7/13/2020,MISDO,Plea
19-317,APCON,10/1/2019,2/25/2020,MISDO,Dismissed
19-324,APCON,10/1/2019,7/15/2020,MISDO,Plea
19-325,APCON,10/1/2019,7/15/2020,MISDO,Plea
19-327,APCON,10/8/2019,12/16/2019,MISDO,Dismissed
19-328,APCON,10/15/2019,12/16/2019,MISDO,Plea
19-329,APCON,10/15/2019,12/16/2019,MISDO,Plea
19-330,APCON,10/15/2019,12/16/2019,MISDO,Dismissed
19-331,APCON,10/21/2019,12/17/2021,MISDO,Dismissal
19-332,APCON,10/22/2019,2/24/2020,MISDO,Plea
19-333,APCON,10/22/2019,2/24/2020,MISDO,Plea
19-335,APCON,10/22/2019,4/1/2020,MISDO,Plea
19-340,APCON,10/10/2019,1/23/2020,MISDO,Plea
19-343,APCON,10/24/2019,11/5/2019,MISDO,Plea
19-346,APCON,10/24/2019,1/21/2020,MISDO,Dismissed
19-347,APCON,10/24/2019,1/21/2020,MISDO,Dismissed
19-348,APCON,10/29/2019,7/13/2020,MISDO,Plea
19-349,APCON,10/29/2019,7/13/2020,MISDO,Plea
19-350,APCON,10/29/2019,11/12/2019,MISDO,Plea
19-351,APCON,10/29/2019,11/12/2019,MISDO,Dismissed
19-352,APCON,10/29/2019,1/6/2020,MISDO,Plea
19-353,APCON,10/30/2019,7/13/2020,MISDO,Plea
19-355,APCON,11/5/2019,3/2/2020,MISDO,Plea
19-356,APCON,11/12/2019,00/00/0000,MISDO,
19-357,APCON,11/12/2019,3/16/2020,MISDO,Plea
19-362,APCON,11/15/2019,1/12/2021,MISDO,Plea
19-368,APCON,11/18/2019,1/8/2020,MISDO,Plea
19-369,APCON,11/18/2019,1/8/2020,MISDO,Plea
19-370,APCON,11/20/2019,11/2/2020,MISDO,Plea
19-373,APCON,11/25/2019,7/17/2020,MISDO,Plea
19-375,APCON,11/22/2019,8/4/2020,MISDO,Dismissal
19-377,APCON,12/3/2019,9/8/2023,MISDO,Other
19-378,APCON,12/3/2019,1/27/2020,MISDO,Plea
19-381,APCON,8/20/2019,12/2/2019,MISDO,Plea
19-385,APCON,12/5/2019,12/16/2019,MISDO,Plea
19-390,APCON,12/11/2019,12/16/2019,MISDO,Plea
19-391,APCON,12/11/2019,12/17/2019,MISDO,Dismissed
19-393,APCON,12/10/2019,9/15/2020,MISDO,Dismissal
20-015,APCON,1/14/2020,8/17/2020,MISDO,Plea
19-401,APCON,12/17/2019,3/2/2020,MISDO,Plea
19-406,APCON,12/19/2019,10/20/2020,MISDO,Plea
19-407,APCON,12/19/2019,6/20/2022,MISDO,Other
20-001,APCON,1/2/2020,9/20/2021,MISDO,Plea
20-002,APCON,1/2/2020,1/6/2020,MISDO,Dismissal
20-003,CRI-DUI,1/3/2020,00/00/0000,MISDO,
20-004,APCON,1/3/2020,8/4/2020,MISDO,Dismissal
20-005,APCON,1/3/2020,00/00/0000,MISDO,
20-009,APCON,1/9/2020,4/19/2022,MISDO,Other
20-010,APCON,1/10/2020,6/5/2020,MISDO,Plea
20-011,APCON,1/10/2020,9/28/2020,MISDO,Plea
20-012,APCON,1/10/2020,9/28/2020,MISDO,Plea
20-014,APCON,1/10/2020,1/22/2020,MISDO,Plea
20-016,APCON,1/14/2020,3/2/2020,MISDO,Plea
20-017,APCON,1/17/2020,10/5/2020,MISDO,Plea
20-018,APCON,1/17/2020,10/5/2020,MISDO,Plea
20-019,APCON,1/17/2020,8/17/2020,MISDO,Plea
20-024,APCON,1/23/2020,3/27/2020,MISDO,Plea
20-028,APCON,1/28/2020,00/00/0000,MISDO,
20-030,APCON,1/28/2020,9/14/2020,MISDO,Dismissal
20-032,APCON,1/1/2020,1/29/2020,MISDO,Dismissal
20-034,APCON,1/1/2020,00/00/0000,MISDO,
20-035,APCON,2/3/2020,4/1/2020,MISDO,Dismissal
20-038,APCON,2/4/2020,8/21/2020,MISDO,Plea
20-039,APCON,2/4/2020,4/12/2022,MISDO,Other
20-041,APCON,2/26/2020,2/24/2020,MISDO,Plea
20-042,APCON,2/7/2020,7/14/2020,MISDO,Dismissal
20-043,APCON,2/11/2020,6/15/2020,MISDO,Plea
20-060,APCON,2/21/2020,00/00/0000,MISDO,
20-051,APCON,2/11/2020,6/29/2020,MISDO,Plea
20-052,APCON,2/18/2020,4/23/2020,MISDO,Dismissal
20-055,CRI,2/21/2020,00/00/0000,MISDO,
20-061,APCON,2/25/2020,00/00/0000,MISDO,
20-062,APCON,2/25/2020,3/1/2021,MISDO,Plea
20-063,APCON,2/25/2020,9/14/2020,MISDO,Plea
20-064,APCON,2/25/2020,5/10/2021,MISDO,Plea
20-066,APCON,2/25/2020,00/00/0000,MISDO,
20-074,APCON,2/28/2020,9/14/2020,MISDO,Plea
20-077,APCON,3/10/2020,9/28/2023,MISDO,Plea
20-078,APCON,3/10/2020,9/14/2020,MISDO,Plea
20-081,APCON,3/6/2020,6/8/2021,MISDO,Plea
20-082,APCON,3/12/2020,11/30/2020,MISDO,Plea
20-086,APCON,3/13/2020,00/00/0000,MISDO,
20-089,APCON,3/16/2020,12/17/2021,MISDO,Dismissal
20-090,APCON,3/16/2020,12/17/2021,MISDO,Dismissal
20-095,APCON,3/17/2020,8/17/2020,MISDO,Plea
20-096,APCON,3/17/2020,9/14/2020,MISDO,Plea
20-097,APCON,3/17/2020,10/19/2020,MISDO,Plea
20-105,APCON,4/13/2020,2/1/2025,MISDO,Other
20-106,APCON,4/13/2020,2/1/2025,MISDO,Other
20-118,APCON,5/22/2020,8/24/2020,MISDO,Plea
20-125,APCON,5/21/2020,6/8/2020,MISDO,Plea
20-126,APCON,5/26/2020,6/8/2020,MISDO,Plea
20-127,APCON,5/21/2020,6/8/2020,MISDO,Plea
20-132,APCON,6/2/2020,3/18/2022,MISDO,Other
20-139,APCON,6/12/2020,12/10/2021,MISDO,Other
20-140,APCON,6/12/2020,12/10/2021,MISDO,Other
20-141,APCON,6/12/2020,6/29/2020,MISDO,Plea
20-142,APCON,6/16/2020,7/15/2020,MISDO,Other
20-144,APCON,6/19/2020,9/14/2020,MISDO,Plea
20-145,APCON,6/22/2020,9/9/2021,MISDO,Plea
20-146,APCON,6/24/2020,9/9/2021,MISDO,Dismissal
20-148,APCON,6/30/2020,10/5/2020,MISDO,Plea
20-150,APCON,6/30/2020,10/19/2020,MISDO,Plea
20-151,APCON,6/26/2020,10/5/2020,MISDO,Plea
20-152,APCON,6/30/2020,3/16/2021,MISDO,Plea
20-154,APCON,6/23/2020,7/8/2020,MISDO,Plea
20-156,APCON,7/7/2020,00/00/0000,MISDO,
20-157,APCON,7/8/2020,10/5/2020,MISDO,Plea
20-158,APCON,7/8/2020,10/5/2020,MISDO,Plea
20-159,APCON,7/7/2020,5/6/2021,MISDO,Trial
20-161,APCON,7/10/2020,7/15/2020,MISDO,Plea
20-163,APCON,7/14/2020,12/14/2020,MISDO,Plea
20-164,APCON,7/15/2020,9/3/2020,MISDO,Plea
20-176,APCON,7/21/2020,3/1/2021,MISDO,Plea
20-182,APCON,7/24/2020,10/20/2020,MISDO,Plea
20-185,APCON,7/27/2020,7/30/2020,MISDO,Dismissal
20-186,APCON,7/27/2020,7/30/2020,MISDO,Plea
20-187,APCON,7/27/2020,7/30/2020,MISDO,Plea
20-188,APCON,7/27/2020,7/30/2020,MISDO,Plea
20-189,APCON,7/27/2020,7/30/2020,MISDO,Plea
20-190,APCON,7/27/2020,7/30/2020,MISDO,Plea
20-191,APCON,7/27/2020,7/30/2020,MISDO,Plea
20-192,APCON,7/22/2020,12/17/2021,MISDO,Dismissal
20-193,APCON,7/22/2020,12/17/2021,MISDO,Dismissal
18-082,CRI-DUI,3/21/2018,00/00/0000,MISDO,
20-195,APCON,7/31/2020,7/9/2024,MISDO,Other
20-198,APCON,8/4/2020,2/22/2021,MISDO,Plea
20-199,APCON,8/4/2020,00/00/0000,MISDO,
20-201,APCON,8/7/2020,10/6/2020,MISDO,Plea
20-205,APCON,8/7/2020,10/26/2022,MISDO,Plea
20-211,APCON,8/14/2020,11/3/2020,MISDO,Dismissed
20-217,APCON,8/21/2020,8/2/2021,MISDO,Plea
20-218,APCON,8/21/2020,9/15/2020,MISDO,Plea
20-222,APCON,8/24/2020,8/24/2020,MISDO,Plea
20-225,APCON,8/25/2020,2/22/2021,MISDO,Plea
20-226,APCON,9/1/2020,11/2/2020,MISDO,Plea
20-228,APCON,9/5/2020,3/30/2021,MISDO,Plea
20-229,APCON,9/8/2020,12/7/2020,MISDO,Plea
20-231,APCON,9/11/2020,11/29/2021,MISDO,Plea
20-232,APCON,9/11/2020,12/31/2020,MISDO,Dismissal
20-233,APCON,9/11/2020,11/9/2020,MISDO,Plea
20-234,APCON,9/15/2020,5/3/2021,MISDO,Plea
20-238,APCON,9/18/2020,00/00/0000,MISDO,
20-249,APCON,10/2/2020,8/7/2024,MISDO,Other
20-250,APCON,9/29/2020,8/2/2021,MISDO,Plea
20-253,CRI-DUI,10/7/2020,00/00/0000,MISDO,
20-254,CRI,9/29/2020,00/00/0000,MISDO,
20-256,APCON,10/6/2020,2/8/2021,MISDO,Dismissal
20-257,APCON,10/6/2020,2/8/2021,MISDO,Dismissal
20-258,APCON,10/6/2020,10/20/2020,MISDO,Plea
20-263,APCON,10/9/2020,1/11/2021,MISDO,Dismissal
20-264,APCON,10/13/2020,2/22/2021,MISDO,Plea
20-265,APCON,10/3/2020,11/3/2020,MISDO,Plea
20-266,APCON,10/13/2020,3/29/2021,MISDO,Plea
20-267,APCON,10/15/2020,10/21/2020,MISDO,Plea
